"Model","Subset","Metric","Variance","SD","Mean","Median"
"SVM",50,"F1",0.0225312191635084,1.50104027805747,85.6954683954395,86.3414634146341
"SVM",50,"Precision",0.228436282871573,4.77950084079471,82.1683221993495,81.3852813852814
"SVM",50,"Recall",0.120195044677112,3.46691569953917,89.9502487562189,91.5422885572139
"SVM",50,"AUC ROC",0.0555458474328151,2.35681665457488,84.399208147743,85.509624651611
"SVM",50,"Coverage",0,0,100,100
"MAP",100,"Accuracy",0.00110313128411375,0.332134202411277,92.6101694915254,92.5423728813559
"MAP",100,"F1",0.00198471141914286,0.445501001025011,91.9507930333104,91.9117647058823
"MAP",100,"Precision",0.00808703156902379,0.89927924300652,98.1325474453425,97.65625
"MAP",100,"Recall",0.0204475308641975,1.42994863069264,86.5277777777778,86.8055555555556
"MAP",100,"AUC ROC",0.00126397643513575,0.35552446260922,92.4691869021339,92.4094002943341
"MAP",100,"Coverage",0,0,75.2551020408163,75.2551020408163
"MLE",100,"Accuracy",0.0872242428223087,2.95337506629803,85.214899713467,86.5329512893983
"MLE",100,"F1",0.144796721245306,3.805216435964,84.7626589635585,86.6096866096866
"MLE",100,"Precision",0.0187843321256327,1.3705594524001,96.9001112191605,96.8553459119497
"MLE",100,"Recall",0.384548611111111,6.20119836089051,75.625,79.1666666666667
"MLE",100,"AUC ROC",0.0675955959871036,2.59991530606486,86.2838375796178,87.354033970276
"MLE",100,"Coverage",1.23259516440783e-30,1.11022302462516e-14,89.0306122448979,89.030612244898
"MV",100,"Accuracy",0,0,92.2033898305085,92.2033898305085
"MV",100,"F1",1.23259516440783e-30,1.11022302462516e-14,91.3857677902622,91.3857677902622
"MV",100,"Precision",0,0,99.1869918699187,99.1869918699187
"MV",100,"Recall",1.23259516440783e-30,1.11022302462516e-14,84.7222222222222,84.7222222222222
"MV",100,"AUC ROC",0,0,92.0299852832965,92.0299852832965
"MV",100,"Coverage",0,0,75.2551020408163,75.2551020408163
"SVM",100,"Accuracy",0.0475322782174095,2.18018985910424,86.6326530612245,86.734693877551
"SVM",100,"F1",0.0366412166507385,1.91418955829193,87.5538511118437,88.0733944954128
"SVM",100,"Precision",0.0932500876660198,3.05368773233315,83.9752096053222,82.1100917431193
"SVM",100,"Recall",0.0495037251553179,2.22494326119382,91.5422885572139,91.044776119403
"SVM",100,"AUC ROC",0.0490509209685932,2.21474425089203,86.5041285718007,86.504649527233
"SVM",100,"Coverage",0,0,100,100
"MAP",500,"Accuracy",0.000183855214018966,0.135593220338985,92.6101694915254,92.5423728813559
"MAP",500,"F1",0.000245253443997265,0.1566056972135,91.8836589460792,91.7910447761194
"MAP",500,"Precision",0.000979659482739424,0.312995125000282,99.0386687147978,99.1935483870968
"MAP",500,"Recall",0.00115740740740744,0.34020690871989,85.6944444444445,85.4166666666667
"MAP",500,"AUC ROC",0.000188844564159798,0.137420727752329,92.4498712288447,92.3772075055188
"MAP",500,"Coverage",0,0,75.2551020408163,75.2551020408163
"MLE",500,"Accuracy",0.00315268347550511,0.561487620122217,87.2206303724928,87.6790830945559
"MLE",500,"F1",0.00369914633229069,0.608206077928418,87.3050709901348,87.6080691642651
"MLE",500,"Precision",0.00863258698080557,0.929117160578017,96.2502774599183,95.7055214723926
"MLE",500,"Recall",0.0125868055555556,1.12190933481969,79.8958333333333,79.1666666666667
"MLE",500,"AUC ROC",0.00292694940435941,0.541012883798474,88.037088641189,88.3957006369427
"MLE",500,"Coverage",1.23259516440783e-30,1.11022302462516e-14,89.0306122448979,89.030612244898
"MV",500,"Accuracy",0,0,92.2033898305085,92.2033898305085
"MV",500,"F1",1.23259516440783e-30,1.11022302462516e-14,91.3857677902622,91.3857677902622
"MV",500,"Precision",0,0,99.1869918699187,99.1869918699187
"MV",500,"Recall",1.23259516440783e-30,1.11022302462516e-14,84.7222222222222,84.7222222222222
"MV",500,"AUC ROC",0,0,92.0299852832965,92.0299852832965
"MV",500,"Coverage",0,0,75.2551020408163,75.2551020408163
"SVM",500,"Accuracy",0.00270720533111205,0.520308113631918,93.1632653061224,93.3673469387755
"SVM",500,"F1",0.00247889257409051,0.497884783267224,93.3667564241903,93.5643564356436
"SVM",500,"Precision",0.00401508898710588,0.63364729835342,92.9090197217684,93.1034482758621
"SVM",500,"Recall",0.00257419370807656,0.507365125730628,93.8308457711443,94.0298507462687
"SVM",500,"AUC ROC",0.00273800746594368,0.523259731485586,93.1457893777187,93.3500039071657
"SVM",500,"Coverage",0,0,100,100
"MAP",1000,"Accuracy",0.00211433496121802,0.459818981906796,92.7457627118644,92.8813559322034
"MAP",1000,"F1",0.00297952162599881,0.545849945131334,92.0300058631791,92.1933085501859
"MAP",1000,"Precision",7.67149453476182e-07,0.00875870683078376,99.1973364305071,99.2
"MAP",1000,"Recall",0.00887345679012349,0.941990275434067,85.8333333333333,86.1111111111111
"MAP",1000,"AUC ROC",0.00221836419753085,0.470995137717031,92.5855408388521,92.724429727741
"MAP",1000,"Coverage",0,0,75.2551020408163,75.2551020408163
"MLE",1000,"Accuracy",0.00216746988940977,0.46556094009375,87.2206303724928,87.3925501432665
"MLE",1000,"F1",0.00276311652146028,0.525653547639534,87.4195200249803,87.5706214689266
"MLE",1000,"Precision",0.00191299568346852,0.437378061117441,95.3302736323613,95.625
"MLE",1000,"Recall",0.00976562499999998,0.988211768802617,80.7291666666667,80.7291666666667
"MLE",1000,"AUC ROC",0.00176355589772066,0.419947127353035,87.9442011677282,88.135283970276
"MLE",1000,"Coverage",1.23259516440783e-30,1.11022302462516e-14,89.0306122448979,89.030612244898
"MV",1000,"Accuracy",0,0,92.2033898305085,92.2033898305085
"MV",1000,"F1",1.23259516440783e-30,1.11022302462516e-14,91.3857677902622,91.3857677902622
"MV",1000,"Precision",0,0,99.1869918699187,99.1869918699187
"MV",1000,"Recall",1.23259516440783e-30,1.11022302462516e-14,84.7222222222222,84.7222222222222
"MV",1000,"AUC ROC",0,0,92.0299852832965,92.0299852832965
"MV",1000,"Coverage",0,0,75.2551020408163,75.2551020408163
"SVM",1000,"Accuracy",0.000885047896709687,0.29749754565537,94.4387755102041,94.6428571428571
"SVM",1000,"F1",0.000828154964559287,0.287776817092567,94.5799145232645,94.7630922693267
"SVM",1000,"Precision",0.00177442795316054,0.421239593718413,94.5345952285104,94.5544554455445
"SVM",1000,"Recall",0.00138610430434889,0.372304217589445,94.6268656716418,94.5273631840796
"SVM",1000,"AUC ROC",0.000894756661871586,0.299124833785426,94.4338516839885,94.6328566591128
"SVM",1000,"Coverage",0,0,100,100
"MAP",1407,"Accuracy",0,0,92.8813559322034,92.8813559322034
"MAP",1407,"F1",0,0,92.1933085501859,92.1933085501859
"MAP",1407,"Precision",0,0,99.2,99.2
"MAP",1407,"Recall",0,0,86.1111111111111,86.1111111111111
"MAP",1407,"AUC ROC",0,0,92.724429727741,92.724429727741
"MAP",1407,"Coverage",0,0,75.2551020408163,75.2551020408163
"MLE",1407,"Accuracy",0,0,89.1117478510029,89.1117478510029
"MLE",1407,"F1",0,0,89.5604395604396,89.5604395604396
"MLE",1407,"Precision",0,0,94.7674418604651,94.7674418604651
"MLE",1407,"Recall",0,0,84.8958333333333,84.8958333333333
"MLE",1407,"AUC ROC",0,0,89.5816746284501,89.5816746284501
"MLE",1407,"Coverage",0,0,89.030612244898,89.030612244898
"MV",1407,"Accuracy",0,0,92.2033898305085,92.2033898305085
"MV",1407,"F1",0,0,91.3857677902622,91.3857677902622
"MV",1407,"Precision",0,0,99.1869918699187,99.1869918699187
"MV",1407,"Recall",0,0,84.7222222222222,84.7222222222222
"MV",1407,"AUC ROC",0,0,92.0299852832965,92.0299852832965
"MV",1407,"Coverage",0,0,75.2551020408163,75.2551020408163
"SVM",1407,"Accuracy",0,0,94.6428571428571,94.6428571428571
"SVM",1407,"F1",0,0,94.7630922693267,94.7630922693267
"SVM",1407,"Precision",0,0,95,95
"SVM",1407,"Recall",0,0,94.5273631840796,94.5273631840796
"SVM",1407,"AUC ROC",0,0,94.6458805449194,94.6458805449194
"SVM",1407,"Coverage",0,0,100,100
