"Model","Subset","Metric","Variance","SD","Mean","Median"
"SVM",1000,"Accuracy",0.00353076758722358,0.594202624297771,91.2806539509537,91.3714804722979
"SVM",1000,"F1",0.178603841520415,4.22615477142538,14.116247041697,14.5161290322581
"SVM",1000,"Precision",0.470724810549697,6.86093878816665,25.99730542815,23.0769230769231
"SVM",1000,"Recall",0.103642737387593,3.21935921244575,9.87654320987654,11.1111111111111
"SVM",1000,"AUC ROC",0.0219844878697598,1.48271669140668,53.8108206245461,53.8888888888889
"SVM",1000,"Coverage",0,0,100,100
"MAP",2000,"Accuracy",0.000560106420219847,0.236665675631226,65.5072463768116,65.7004830917874
"MAP",2000,"F1",0.00287648463052191,0.536328689380114,48.4829527682202,48.9208633093525
"MAP",2000,"Precision",0.00107724730041189,0.328214457392098,34.0754483611626,34.3434343434343
"MAP",2000,"Recall",0.015,1.22474487139159,84,85
"MAP",2000,"AUC ROC",0.00375000000000004,0.612372435695798,72.5389221556886,73.0389221556886
"MAP",2000,"Coverage",0,0,18.8010899182561,18.8010899182561
"MLE",2000,"Accuracy",0.00519438357276194,0.72072072072072,64.954954954955,64.8648648648649
"MLE",2000,"F1",0.0141118566695563,1.18793335964423,47.0272562944962,46.5753424657534
"MLE",2000,"Precision",0.00112798289297872,0.335854565694546,33.9091853075347,33.6633663366337
"MLE",2000,"Recall",0.268641975308642,5.1830683509736,76.8888888888889,75.5555555555556
"MLE",2000,"AUC ROC",0.0238523767471388,1.54442146926086,69.4048964218456,68.8512241054614
"MLE",2000,"Coverage",0,0,20.1634877384196,20.1634877384196
"MV",2000,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MV",2000,"F1",0,0,48.9208633093525,48.9208633093525
"MV",2000,"Precision",0,0,34.3434343434343,34.3434343434343
"MV",2000,"Recall",0,0,85,85
"MV",2000,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MV",2000,"Coverage",0,0,18.8010899182561,18.8010899182561
"SVM",2000,"Accuracy",0.000725952214195506,0.269435004072505,90.7356948228883,90.6448683015441
"SVM",2000,"F1",0.0902535840756467,3.00422342836958,12.5805805068571,14.5161290322581
"SVM",2000,"Precision",0.156548361163042,3.95661927866509,20.4384974920201,20.9302325581395
"SVM",2000,"Recall",0.0585276634659351,2.41924912867474,9.1358024691358,11.1111111111111
"SVM",2000,"AUC ROC",0.0126117526813841,1.12302060005078,53.1757443718228,53.8888888888889
"SVM",2000,"Coverage",0,0,100,100
"MAP",3858,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MAP",3858,"F1",0,0,48.9208633093525,48.9208633093525
"MAP",3858,"Precision",0,0,34.3434343434343,34.3434343434343
"MAP",3858,"Recall",0,0,85,85
