"Model","Subset","Metric","Variance","SD","Mean","Median"
"MLE",100,"Recall",0,0,94.8275862068966,94.8275862068966
"MLE",100,"AUC ROC",0.0355029585798816,1.88422287906398,88.2879189775741,86.7494574391126
"MLE",100,"Coverage",0,0,100,100
"MV",100,"Accuracy",0,0,86.4788732394366,86.4788732394366
"MV",100,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MV",100,"Precision",0,0,80.8823529411765,80.8823529411765
"MV",100,"Recall",0,0,94.8275862068966,94.8275862068966
"MV",100,"AUC ROC",1.23259516440783e-30,1.11022302462516e-14,86.6403124404649,86.6403124404649
"MV",100,"Coverage",0,0,77.1739130434783,77.1739130434783
"SVM",100,"Accuracy",0.00786389413988658,0.886786002363963,76.1739130434783,76.7391304347826
"SVM",100,"F1",0.155718060523946,3.94611277745513,67.8172726119724,69.3409742120344
"SVM",100,"Precision",0.0629533279872077,2.50905017859762,69.3432681139998,69.1428571428571
"SVM",100,"Recall",0.850046241247192,9.21979523225539,67.3563218390805,69.5402298850575
"SVM",100,"AUC ROC",0.0615672148895167,2.48127416642169,74.447391688771,75.3295555019693
"SVM",100,"Coverage",0,0,100,100
"MAP",500,"Accuracy",0,0,89.5652173913044,89.5652173913044
"MAP",500,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MAP",500,"Precision",0,0,80.8823529411765,80.8823529411765
"MAP",500,"Recall",0,0,94.8275862068966,94.8275862068966
"MAP",500,"AUC ROC",0,0,90.5956112852665,90.5956112852665
"MAP",500,"Coverage",0,0,100,100
"MLE",500,"Accuracy",0,0,89.5652173913044,89.5652173913044
"MLE",500,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MLE",500,"Precision",0,0,80.8823529411765,80.8823529411765
"MLE",500,"Recall",0,0,94.8275862068966,94.8275862068966
"MLE",500,"AUC ROC",0,0,90.5956112852665,90.5956112852665
"MLE",500,"Coverage",0,0,100,100
"MV",500,"Accuracy",0,0,86.4788732394366,86.4788732394366
"MV",500,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MV",500,"Precision",0,0,80.8823529411765,80.8823529411765
"MV",500,"Recall",0,0,94.8275862068966,94.8275862068966
"MV",500,"AUC ROC",1.23259516440783e-30,1.11022302462516e-14,86.6403124404649,86.6403124404649
"MV",500,"Coverage",0,0,77.1739130434783,77.1739130434783
"SVM",500,"Accuracy",0.00971644612476373,0.985720352065621,80.9130434782608,80.8695652173913
"SVM",500,"F1",0.0825607944953186,2.8733394246994,74.2399144295015,74.7875354107649
"SVM",500,"Precision",0.0457286764161647,2.13842644054372,75.7418792245637,74.6031746031746
"SVM",500,"Recall",0.47113224996697,6.86390741463614,73.3333333333333,75.8620689655172
"SVM",500,"AUC ROC",0.0442876325940941,2.10446270088339,79.4289044289044,79.7142512659754
"SVM",500,"Coverage",0,0,100,100
"MAP",1000,"Accuracy",0,0,89.5652173913044,89.5652173913044
"MAP",1000,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MAP",1000,"Precision",0,0,80.8823529411765,80.8823529411765
"MAP",1000,"Recall",0,0,94.8275862068966,94.8275862068966
"MAP",1000,"AUC ROC",0,0,90.5956112852665,90.5956112852665
"MAP",1000,"Coverage",0,0,100,100
"MLE",1000,"Accuracy",0,0,89.5652173913044,89.5652173913044
"MLE",1000,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MLE",1000,"Precision",0,0,80.8823529411765,80.8823529411765
"MLE",1000,"Recall",0,0,94.8275862068966,94.8275862068966
"MLE",1000,"AUC ROC",0,0,90.5956112852665,90.5956112852665
"MLE",1000,"Coverage",0,0,100,100
"MV",1000,"Accuracy",0,0,86.4788732394366,86.4788732394366
"MV",1000,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MV",1000,"Precision",0,0,80.8823529411765,80.8823529411765
"MV",1000,"Recall",0,0,94.8275862068966,94.8275862068966
"MV",1000,"AUC ROC",1.23259516440783e-30,1.11022302462516e-14,86.6403124404649,86.6403124404649
"MV",1000,"Coverage",0,0,77.1739130434783,77.1739130434783
"SVM",1000,"Accuracy",0.0111531190926276,1.05608328708619,83.0434782608695,83.4782608695652
"SVM",1000,"F1",0.0412947925287777,2.03211201779768,77.4246015783488,78.3625730994152
"SVM",1000,"Precision",0.0303222522402653,1.74132858014406,77.9404278553538,78.4313725490196
"SVM",1000,"Recall",0.206632316025895,4.54568274328395,77.1264367816092,77.5862068965517
"SVM",1000,"AUC ROC",0.0256800782274119,1.60250049071481,81.8848967124829,82.5616911823808
"SVM",1000,"Coverage",0,0,100,100
"MAP",1656,"Accuracy",0,0,89.5652173913044,89.5652173913044
